name_slug,twok_year,Rating,Team,Height,Wingspan
spencer-dinwiddie,NBA 2K25,78,Dallas Mavericks,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K24,81,"Brooklyn Nets, Los Angeles Lakers","6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K23,80,"Brooklyn Nets, Dallas Mavericks","6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K22,81,"Dallas Mavericks, Washington Wizards","6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K21,83,Brooklyn Nets,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K20,83,Brooklyn Nets,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K19,82,Brooklyn Nets,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K18,78,Brooklyn Nets,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K17,73,Brooklyn Nets,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K16,68,Detroit Pistons,"6'5"" (196cm)","6'8"" (203cm)"
spencer-dinwiddie,NBA 2K15,67,Detroit Pistons,"6'5"" (196cm)","6'8"" (203cm)"
mikal-bridges,NBA 2K25,85,New York Knicks,"6'6"" (198cm)","7'1"" (216cm)"
mikal-bridges,NBA 2K24,86,Brooklyn Nets,"6'6"" (198cm)","7'1"" (216cm)"
mikal-bridges,NBA 2K23,83,"Brooklyn Nets, Phoenix Suns","6'6"" (198cm)","7'1"" (216cm)"
mikal-bridges,NBA 2K22,83,Phoenix Suns,"6'6"" (198cm)","7'1"" (216cm)"
mikal-bridges,NBA 2K21,83,Phoenix Suns,"6'6"" (198cm)","7'1"" (216cm)"
mikal-bridges,NBA 2K20,77,Phoenix Suns,"6'6"" (198cm)","7'1"" (216cm)"
mikal-bridges,NBA 2K19,75,Phoenix Suns,"6'6"" (198cm)","7'1"" (216cm)"
dennis-schroder,NBA 2K25,77,"Detroit Pistons, Golden State Warriors","6'1"" (185cm)","6'8"" (203cm)"
