year,rank,name,rating
2010,1,Dwyane Wade,97
2010,1,Kobe Bryant,97
2010,1,LeBron James,97
2010,4,Chris Paul,95
2010,5,Carmelo Anthony,93
2010,6,Deron Williams,92
2010,7,Kevin Durant,91
2010,8,Tim Duncan,90
2010,9,Pau Gasol,89
2010,10,Brandon Roy,88
2010,10,Joe Johnson,88
2010,10,Dwight Howard,88
2010,13,Rajon Rondo,87
2010,13,Manu Ginobili,87
2010,13,Chris Bosh,87
2010,16,Amare Stoudemire,86
2010,17,Derrick Rose,85
2010,17,Steve Nash,85
2010,17,Andre Iguodala,85
2010,17,Carlos Boozer,85
2010,21,Monta Ellis,84
2010,21,Stephen Jackson,84
2010,21,Gerald Wallace,84
2010,24,Jason Kidd,83
2010,24,Chauncey Billups,83
2010,24,Gilbert Arenas,83
2010,24,Paul Pierce,83
2010,24,Danny Granger,83
2010,24,Josh Smith,83
2010,24,David Lee,83
2010,24,Dirk Nowitzki,83
2010,24,Yao Ming,83
2010,33,Tyreke Evans,82
2010,33,Andrew Bogut,82
2010,35,John Wall,81
2010,35,Russell Westbrook,81
2010,35,Vince Carter,81
2010,35,Rudy Gay,81
2010,35,Caron Butler,81
2010,35,Brook Lopez,81
2010,41,Stephen Curry,80
2010,41,Aaron Brooks,80
2010,41,Darren Collison,80
2010,41,Kevin Martin,80
2010,41,OJ Mayo,80
2010,41,Zach Randolph,80
2010,41,Kevin Garnett,80
2010,41,Al Jefferson,80
2010,49,Baron Davis,79
2010,49,Ray Allen,79
2010,49,Trevor Ariza,79
2010,49,Lamar Odom,79
2010,53,Devin Harris,78
2010,53,Tony Parker,78
2010,53,Jason Terry,78
2010,53,Shawn Marion,78
2010,53,Corey Maggette,78
2010,53,Antawn Jamison,78
2010,53,Luis Scola,78
2010,53,Al Horford,78
2010,53,Chris Kaman,78
2010,53,Marcus Camby,78
2010,63,Richard Hamilton,77
2010,63,Grant Hill,77
2010,63,Josh Childress,77
2010,63,Luol Deng,77
2010,63,Kenyon Martin,77
2010,63,LaMarcus Aldridge,77
2010,63,Jeff Green,77
2010,63,Andrew Bynum,77
2010,63,Marc Gasol,77
2010,63,Emeka Okafor,77
2010,63,Shaquille O'Neal,77
2010,74,Andre Miller,76
2010,74,Maurice Williams,76
2010,74,Nate Robinson,76
2010,74,Evan Turner,76
2010,74,Ben Gordon,76
2010,74,Jamal Crawford,76
2010,74,George Hill,76
2010,74,Terrence Williams,76
2010,74,Tayshaun Prince,76
2010,74,Shane Battier,76
2010,74,Rashard Lewis,76
2010,74,Blake Griffin,76
2010,86,Kyle Lowry,75
2010,86,Ty Lawson,75
2010,86,Jameer Nelson,75
2010,86,Brandon Jennings,75
2010,86,Leandro Barbosa,75
2010,86,Carl Landry,75
2010,86,David West,75
2010,86,Greg Oden,75
2010,86,Nenê,75
2010,86,Mehmet Okur,75
2010,96,Rodney Stuckey,74
2010,96,Jonny Flynn,74
2010,96,Kirk Hinrich,74
2010,96,Dahntay Jones,74
2010,96,Eric Gordon,74
2010,96,John Salmons,74
2010,96,Richard Jefferson,74
2010,96,Wilson Chandler,74
2010,96,Andrei Kirilenko,74
2010,96,Al Harrington,74
2010,96,Paul Millsap,74
2010,96,Michael Beasley,74
2010,96,Kevin Love,74
2010,96,Ben Wallace,74
2010,96,Andrea Bargnani,74
2010,96,Jermaine O'Neal,74
2010,112,Raymond Felton,73
2010,112,Louis Williams,73
2010,112,Shannon Brown,73
2010,112,Tracy McGrady,73
2010,112,Michael Redd,73
2010,112,Jason Richardson,73
2010,112,Matt Barnes,73
2010,112,Wesley Johnson,73
2010,112,Derrick Favors,73
2010,112,Elton Brand,73
2010,112,Joakim Noah,73
2010,112,Mike Conley,73
2010,112,Hidayet Turkoglu,73
2010,125,TJ Ford,72
2010,125,Luke Ridnour,72
2010,125,Mike Bibby,72
2010,125,Mike Miller,72
2010,125,Danilo Gallinari,72
2010,125,Mickael Pietrus,72
2010,125,Patrick Patterson,72
2010,125,Marreese Speights,72
2010,125,Andray Blatche,72
2010,125,Troy Murphy,72
2010,125,Kendrick Perkins,72
2010,136,Will Bynum,71
2010,136,Delonte West,71
2010,136,Kelenna Azubuike,71
2010,136,JR Smith,71
2010,136,Jared Dudley,71
2010,136,Josh Howard,71
2010,136,Paul George,71
2010,136,Brandon Bass,71
2010,136,Thaddeus Young,71
2010,136,Udonis Haslem,71
2010,136,Charlie Villanueva,71
2010,136,Jason Maxiell,71
2010,136,Luc Mbah a Moute,71
2010,136,Jason Thompson,71
2010,136,Tyrus Thomas,71
2010,136,Roy Hibbert,71
2010,136,Brendan Haywood,71
2010,153,Toney Douglas,70
2010,153,Jrue Holiday,70
2010,153,Jason Williams,70
2010,153,Randy Foye,70
2010,153,Anthony Parker,70
2010,153,Raja Bell,70
2010,153,Corey Brewer,70
2010,153,James Posey,70
2010,153,Damion James,70
2010,153,Chase Budinger,70
2010,153,Quentin Richardson,70
2010,153,Boris Diaw,70
2010,153,Anthony Randolph,70
2010,153,Zydrunas Ilgauskas,70
2010,153,Samuel Dalembert,70
2010,153,DeMarcus Cousins,70
2010,169,Chris Duhon,69
2010,169,Ramon Sessions,69
2010,169,Keyon Dooling,69
2010,169,Mario Chalmers,69
2010,169,DJ Augustin,69
2010,169,Jarrett Jack,69
2010,169,Rodrigue Beaubois,69
2010,169,Jose Juan Barea,69
2010,169,Derek Fisher,69
2010,169,Ronnie Brewer,69
2010,169,Willie Green,69
2010,169,Marcus Thornton,69
2010,169,Nicolas Batum,69
2010,169,Travis Outlaw,69
2010,169,Martell Webster,69
2010,169,Jordan Hill,69
2010,169,DeJuan Blair,69
2010,169,Taj Gibson,69
2010,169,Andris Biedrins,69
2010,169,Marcin Gortat,69
2010,189,Steve Blake,68
2010,189,CJ Watson,68
2010,189,Goran Dragic,68
2010,189,DeShawn Stevenson,68
2010,189,Alonzo Gee,68
2010,189,Rudy Fernandez,68
2010,189,Roger Mason,68
2010,189,Courtney Lee,68
2010,189,Carlos Delfino,68
2010,189,Andres Nocioni,68
2010,189,Joey Graham,68
2010,189,Al Thornton,68
2010,189,Al-Farouq Aminu,68
2010,189,Kurt Thomas,68
2010,189,Tyler Hansbrough,68
2010,189,Chuck Hayes,68
2010,189,Antonio McDyess,68
2010,189,Anderson Varejao,68
2010,189,Ekpe Udoh,68
2010,208,Avery Bradley,67
2010,208,Jordan Farmar,67
2010,208,Gerald Henderson,67
2010,208,Reggie Williams,67
2010,208,Derrick Brown,67
2010,208,Maurice Evans,67
2010,208,Ed Davis,67
2010,208,Yi Jianlian,67
2010,208,Joel Przybilla,67
2010,208,Greg Monroe,67
2010,218,Jerryd Bayless,66
2010,218,Patrick Mills,66
2010,218,Beno Udrih,66
2010,218,Marco Belinelli,66
2010,218,Sasha Vujacic,66
2010,218,Francisco Garcia,66
2010,218,James Anderson,66
2010,218,Dominique Jones,66
2010,218,Charlie Bell,66
2010,218,Wesley Matthews,66
2010,218,Tony Allen,66
2010,218,Thabo Sefolosha,66
2010,218,JJ Redick,66
2010,218,Nick Young,66
2010,218,Marvin Williams,66
2010,218,Renaldo Balkman,66
2010,218,Luke Walton,66
2010,218,Jonas Jerebko,66
2010,218,Omri Casspi,66
2010,218,Ryan Gomes,66
2010,218,Quincy Pondexter,66
2010,218,Trevor Booker,66
2010,218,Jeff Foster,66
2010,218,Tyson Chandler,66
2010,218,Ronny Turiaf,66
2010,218,Spencer Hawes,66
2010,218,Chris Andersen,66
2010,218,Brad Miller,66
2010,246,Sebastian Telfair,65
2010,246,Keith Bogans,65
2010,246,Jordan Crawford,65
2010,246,Anthony Morrow,65
2010,246,Arron Afflalo,65
2010,246,Brandon Rush,65
2010,246,Sam Young,65
2010,246,Jamario Moon,65
2010,246,Mike Dunleavy,65
2010,246,Larry Sanders,65
2010,246,JJ Hickson,65
2010,246,Leon Powe,65
2010,246,Craig Brackins,65
2010,246,Zaza Pachulia,65
2010,246,Nazr Mohammed,65
2010,246,Drew Gooden,65
2010,262,Carlos Arroyo,64
2010,262,Eric Bledsoe,64
2010,262,Sundiata Gaines,64
2010,262,Elliot Williams,64
2010,262,DeMar DeRozan,64
2010,262,Antoine Wright,64
2010,262,Marquis Daniels,64
2010,262,Cartier Martin,64
2010,262,Julian Wright,64
2010,262,Dorell Wright,64
2010,262,Gordon Hayward,64
2010,262,James Johnson,64
2010,262,Brandan Wright,64
2010,262,Josh Powell,64
2010,262,Hakim Warrick,64
2010,262,Glen Davis,64
2010,262,Tiago Splitter,64
2010,262,Eddy Curry,64
2010,262,Robin Lopez,64
2010,281,Ronnie Price,63
2010,281,Jeff Teague,63
2010,281,Garrett Temple,63
2010,281,Quinton Ross,63
2010,281,Kyle Korver,63
2010,281,Dominic McGuire,63
2010,281,Luke Babbitt,63
2010,281,Lazar Hayward,63
2010,281,Darrell Arthur,63
2010,281,Ersan Ilyasova,63
2010,281,Eduardo Najera,63
2010,281,Joey Dorsey,63
2010,281,Reggie Evans,63
2010,281,Amir Johnson,63
2010,281,Channing Frye,63
2010,281,Danny Green,63
2010,297,Marcus Banks,62
2010,297,Patrick Beverley,62
2010,297,Jermaine Taylor,62
2010,297,Donte Greene,62
2010,297,Anthony Tolliver,62
2010,297,Craig Smith,62
2010,297,Darius Songaila,62
2010,297,Ryan Anderson,62
2010,297,Jared Jeffries,62
2010,297,Chris Wilcox,62
2010,297,Aaron Gray,62
2010,308,Daniel Gibson,61
2010,308,Acie Law,61
2010,308,Von Wafer,61
2010,308,Wayne Ellington,61
2010,308,Rasual Butler,61
2010,308,Dante Cunningham,61
2010,308,Dan Gadzuric,61
2010,308,Etan Thomas,61
2010,316,Shaun Livingston,60
2010,316,Andy Rautins,60
2010,316,Sonny Weems,60
2010,316,Austin Daye,60
2010,316,Shelden Williams,60
2010,316,Erick Dampier,60
2010,316,Theo Ratliff,60
2010,323,DeMarre Carroll,59
2010,323,DeSagana Diop,59
2010,323,Daniel Orton,59
2010,323,Hasheem Thabeet,59
2010,323,Nenad Krstic,59
2010,323,JaVale McGee,59
2010,329,Jodie Meeks,58
2010,329,DaJuan Summers,58
2010,329,Joe Alexander,58
2010,329,James Jones,58
2010,329,Jason Kapono,58
2010,329,CJ Miles,58
2010,329,Malik Allen,58
2010,329,Kevin Seraphin,58
2010,329,Hilton Armstrong,58
2010,329,Matt Bonner,58
2010,329,Juwan Howard,58
2010,329,Joel Anthony,58
2010,329,Kosta Koufos,58
2010,342,Anthony Carter,57
2010,342,Jeremy Evans,57
2010,342,Jamaal Magloire,57
2010,342,David Andersen,57
2010,342,Darko Milicic,57
2010,342,Tony Battie,57
2010,348,Eddie House,56
2010,348,Jason Smith,56
2010,348,Johan Petro,56
2010,351,Matt Carroll,55
2010,351,Linas Kleiza,55
2010,351,Ryan Hollins,55
2010,354,Josh McRoberts,54
2010,354,Brian Cook,54
2010,354,Hamed Haddadi,54
2010,354,DeAndre Jordan,54
2010,358,AJ Price,53
2010,358,Jon Brockman,53
2010,358,Vladimir Radmanovic,53
2010,358,Sean Marks,53
2010,358,Solomon Jones,53
2010,363,Jason Collins,51
2010,363,Ian Mahinmi,51
2010,363,Didier Ilunga-Mbenga,51
