team,year,name,age,position,games,games_started,minutes_played_per_game,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,three_point_field_goals_per_game,three_point_field_goal_attempts_per_game,three_point_field_goal_percentage,two_point_field_goals_per_game,two_point_field_goal_attempts_per_game,two_point_field_goal_percentage,effective_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,awards,position_post,games_post,games_started_post,minutes_played_per_game_post,field_goals_per_game_post,field_goal_attempts_per_game_post,field_goal_percentage_post,three_point_field_goals_per_game_post,three_point_field_goal_attempts_per_game_post,three_point_field_goal_percentage_post,two_point_field_goals_per_game_post,two_point_field_goal_attempts_per_game_post,two_point_field_goal_percentage_post,effective_field_goal_percentage_post,free_throws_per_game_post,free_throw_attempts_per_game_post,free_throw_percentage_post,offensive_rebounds_per_game_post,defensive_rebounds_per_game_post,total_rebounds_per_game_post,assists_per_game_post,steals_per_game_post,blocks_per_game_post,turnovers_per_game_post,personal_fouls_per_game_post,points_per_game_post,awards_post,pg%,sg%,pf%,c%,on_court_+/-,on-off_+/-,bad_pass_TO,lost_ball_TO,shooting_fouls,offensive_fouls,shooting_fouls_drawn,offensive_fouls_drawn,points generated by assists,and1s,pg%_post,sg%_post,sf%_post,pf%_post,c%_post,on_court_+/-_post,on-off_+/-_post,bad_pass_to_post,lost_ball_to_post,shooting_fouls_post,offensive_fouls_post,shooting_fouls_drawn_post,offensive_fouls_drawn_post,points_generated_by_assists_post,and1s_post,name_slug,twok_year,Rating,Team,Height,Wingspan
BOS,2022,Jayson Tatum,23.0,SF,76,76,35.9,9.3,20.6,0.453,3.0,8.6,0.353,6.3,12.0,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9,"MVP-6,AS,NBA1",SF,24.0,24.0,41.0,8.4,19.7,0.426,3.2,8.2,0.393,5.2,11.5,0.449,0.507,5.7,7.1,0.8,1.0,5.7,6.7,6.2,1.2,0.9,4.2,3.0,25.6,,0,67,32,0,12.1,13.8,99,71,67,33,188,11,833,41,0.0,0.0,78.0,21.0,0.0,4.6,5.4,39.0,38.0,15.0,19.0,74.0,5.0,379.0,15.0,jayson-tatum,,,,,
BOS,2022,Jaylen Brown,25.0,SF,66,66,33.6,8.7,18.4,0.473,2.5,7.0,0.358,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,,SF,24.0,24.0,38.3,8.2,17.5,0.47,2.5,6.7,0.373,5.7,10.8,0.531,0.542,4.2,5.5,0.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3.0,23.1,,0,47,8,0,10.1,5.4,74,66,68,18,151,13,566,37,0.0,66.0,34.0,0.0,0.0,3.5,-1.5,25.0,33.0,25.0,9.0,55.0,7.0,213.0,14.0,jaylen-brown,,,,,
BOS,2022,Marcus Smart,27.0,PG,71,71,32.3,4.2,10.1,0.418,1.7,5.1,0.331,2.5,5.0,0.506,0.501,2.0,2.5,0.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,DPOY-1,PG,21.0,21.0,36.2,5.4,13.3,0.405,2.3,6.5,0.35,3.1,6.8,0.458,0.491,2.4,3.0,0.806,1.0,3.6,4.5,5.9,1.2,0.2,2.5,3.4,15.4,,63,0,0,0,9.7,4.7,108,33,62,12,69,46,977,19,91.0,9.0,0.0,0.0,0.0,2.2,-5.0,32.0,11.0,23.0,7.0,21.0,18.0,297.0,3.0,marcus-smart,NBA 2K23,82.0,Boston Celtics,"6'3"" (191cm)","6'9"" (206cm)"
BOS,2022,Marcus Smart,27.0,PG,71,71,32.3,4.2,10.1,0.418,1.7,5.1,0.331,2.5,5.0,0.506,0.501,2.0,2.5,0.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,DPOY-1,PG,21.0,21.0,36.2,5.4,13.3,0.405,2.3,6.5,0.35,3.1,6.8,0.458,0.491,2.4,3.0,0.806,1.0,3.6,4.5,5.9,1.2,0.2,2.5,3.4,15.4,,63,0,0,0,9.7,4.7,108,33,62,12,69,46,977,19,91.0,9.0,0.0,0.0,0.0,2.2,-5.0,32.0,11.0,23.0,7.0,21.0,18.0,297.0,3.0,marcus-smart,NBA 2K23,82.0,Boston Celtics,"6'3"" (191cm)","6'9"" (206cm)"
BOS,2022,Robert Williams,24.0,C,61,61,29.6,4.4,6.0,0.736,0.0,0.0,0.0,4.4,6.0,0.738,0.736,1.1,1.5,0.722,3.9,5.7,9.6,2.0,0.9,2.2,1.0,2.2,10.0,DPOY-7,C,17.0,15.0,23.2,3.1,4.6,0.679,0.0,0.1,0.0,3.1,4.5,0.688,0.679,1.5,1.6,0.893,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,,0,0,42,58,9.9,4.0,31,12,91,8,45,1,302,14,0.0,0.0,0.0,54.0,47.0,7.5,5.5,3.0,2.0,22.0,2.0,12.0,1.0,40.0,2.0,robert-williams,NBA 2K23,83.0,Boston Celtics,"6'9"" (206cm)","7'6"" (229cm)"
BOS,2022,Robert Williams,24.0,C,61,61,29.6,4.4,6.0,0.736,0.0,0.0,0.0,4.4,6.0,0.738,0.736,1.1,1.5,0.722,3.9,5.7,9.6,2.0,0.9,2.2,1.0,2.2,10.0,DPOY-7,C,17.0,15.0,23.2,3.1,4.6,0.679,0.0,0.1,0.0,3.1,4.5,0.688,0.679,1.5,1.6,0.893,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,,0,0,42,58,9.9,4.0,31,12,91,8,45,1,302,14,0.0,0.0,0.0,54.0,47.0,7.5,5.5,3.0,2.0,22.0,2.0,12.0,1.0,40.0,2.0,robert-williams,NBA 2K23,83.0,Boston Celtics,"6'9"" (206cm)","7'6"" (229cm)"
BOS,2022,Dennis Schröder,28.0,PG,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8.0,0.485,0.497,2.5,3.0,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0,0,1.7,-9.4,61,26,31,14,60,18,508,16,,,,,,,,,,,,,,,,dennis-schroder,NBA 2K23,77.0,Los Angeles Lakers,"6'1"" (185cm)","6'8"" (203cm)"
BOS,2022,Dennis Schröder,28.0,PG,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8.0,0.485,0.497,2.5,3.0,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0,0,1.7,-9.4,61,26,31,14,60,18,508,16,,,,,,,,,,,,,,,,dennis-schroder,NBA 2K23,77.0,Los Angeles Lakers,"6'1"" (185cm)","6'8"" (203cm)"
BOS,2022,Al Horford,35.0,C,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,DPOY-9,C,23.0,23.0,35.4,4.4,8.4,0.523,2.0,4.3,0.48,2.3,4.1,0.568,0.645,1.2,1.6,0.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,,0,0,1,99,9.4,3.3,37,13,72,8,44,0,544,13,0.0,0.0,0.0,0.0,100.0,5.4,5.1,15.0,5.0,37.0,6.0,19.0,2.0,191.0,8.0,al-horford,NBA 2K23,82.0,Boston Celtics,"6'9"" (206cm)","7'1"" (216cm)"
BOS,2022,Al Horford,35.0,C,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,DPOY-9,C,23.0,23.0,35.4,4.4,8.4,0.523,2.0,4.3,0.48,2.3,4.1,0.568,0.645,1.2,1.6,0.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,,0,0,1,99,9.4,3.3,37,13,72,8,44,0,544,13,0.0,0.0,0.0,0.0,100.0,5.4,5.1,15.0,5.0,37.0,6.0,19.0,2.0,191.0,8.0,al-horford,NBA 2K23,82.0,Boston Celtics,"6'9"" (206cm)","7'1"" (216cm)"
