Team,Year,Name,Age_x,Position_x,Games_x,Games Started_x,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Awards_x,Age_y,Position_y,Games_y,Games Started_y,Minutes Played,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,Bad Pass TO,Lost Ball TO,Shooting Fouls,Offensive Fouls,Shooting Fouls Drawn,Points Generated by Assists,And1s,Shots Blocked,Awards_y
CLE,2000,Lamond Murray,26,SF,74,72,32.0,6.2,13.8,.451,0.7,1.9,.367,5.5,11.9,.465,.476,2.8,3.6,.761,1.7,4.0,5.7,1.8,1.4,0.5,2.5,2.8,15.9,,26,SF,74,72,2365,0,1,90,10,0,-6.3,-0.7,56,36,70,44,110,17,272,19,53
CLE,2000,Shawn Kemp,30,C,82,82,30.4,5.9,14.1,.417,0.0,0.1,.333,5.9,14.1,.418,.418,6.0,7.7,.776,2.8,6.0,8.8,1.7,1.2,1.2,3.5,4.5,17.8,,30,C,82,82,2492,0,0,0,0,100,-3.2,7.7,71,46,158,85,244,16,288,45,137
CLE,2000,Bob Sura,26,SG,73,45,30.4,4.9,11.2,.437,1.7,4.5,.367,3.2,6.6,.484,.512,2.4,3.4,.697,0.7,3.3,3.9,3.9,1.2,0.3,2.0,2.8,13.8,,26,SG,73,45,2216,1,96,3,0,0,-7.0,-2.2,67,38,67,17,79,33,583,13,48
CLE,2000,Brevin Knight,24,PG,65,46,27.0,3.5,8.6,.412,0.0,0.2,.200,3.5,8.4,.416,.414,2.2,2.8,.761,0.6,2.4,3.0,7.0,1.6,0.3,2.4,2.8,9.3,,24,PG,65,46,1754,99,1,0,0,0,-6.0,-0.1,101,23,61,10,49,30,978,12,26
CLE,2000,Wesley Person,28,SG,79,38,26.0,3.5,8.3,.428,1.3,3.2,.424,2.2,5.1,.431,.509,0.8,1.0,.792,0.6,2.8,3.4,1.8,0.5,0.2,0.8,1.5,9.2,,28,SG,79,38,2056,0,70,30,0,0,-5.0,2.2,29,10,40,12,24,8,291,6,23
CLE,2000,Andre Miller,23,PG,82,36,25.5,4.1,9.2,.449,0.1,0.6,.204,4.0,8.6,.466,.456,2.8,3.6,.774,1.0,2.4,3.4,5.8,1.0,0.2,2.0,2.4,11.1,ROY-4,23,PG,82,36,2093,91,9,0,0,0,-3.6,5.0,80,34,66,20,115,28,1024,25,87
CLE,2000,Mark Bryant,34,PF,75,50,22.8,2.3,4.6,.503,0.0,0.0,,2.3,4.6,.503,.503,1.0,1.3,.809,1.7,3.0,4.7,0.8,0.4,0.4,1.2,3.3,5.7,,34,PF,75,50,1712,0,0,3,96,1,-4.1,3.3,24,18,71,31,33,22,137,6,17
CLE,2000,Andrew DeClercq,26,C,82,31,22.3,2.7,5.4,.508,0.0,0.0,,2.7,5.4,.508,.508,1.1,2.0,.588,1.9,3.5,5.4,0.7,0.8,0.8,1.3,3.4,6.6,,26,C,82,31,1831,0,0,0,47,53,-9.8,-7.0,29,30,143,33,69,37,113,14,54
CLE,2000,Danny Ferry,33,PF,63,3,21.0,3.0,6.0,.497,0.5,1.2,.440,2.5,4.8,.511,.541,0.8,0.9,.912,0.9,2.9,3.8,1.1,0.3,0.4,0.9,2.9,7.3,,33,PF,63,3,1326,0,0,5,72,23,-5.4,1.0,30,5,74,15,11,20,136,1,6
CLE,2000,Cedric Henderson,24,SF,61,7,18.1,2.1,5.3,.396,0.0,0.2,.067,2.1,5.1,.412,.397,1.1,1.7,.663,0.6,1.7,2.3,0.9,0.6,0.3,1.1,1.6,5.4,,24,SF,61,7,1107,0,5,91,3,0,-8.9,-4.0,33,14,33,9,43,10,119,8,24
